word_count,char_count,avg_word_length,type_token_ratio,digit_count,uppercase_ratio,punctuation_count,special_char_count,function_word_ratio,sentence_length_var
27,117,3.3333333333333335,0.7777777777777778,0,0.0,1,27,0.2962962962962963,6.25
128,877,5.671875,0.59375,0,0.0,18,151,0.2890625,218.5619834710744
27,125,3.5555555555555554,0.7037037037037037,0,0.0,3,29,0.1111111111111111,132.25
20,90,3.55,0.9,0,0.0,0,19,0.25,0.0
58,326,4.5,0.6206896551724138,0,0.0,8,65,0.1724137931034483,6.640000000000001
24,121,3.5416666666666665,0.75,0,0.0,13,36,0.16666666666666666,4.530612244897959
97,590,4.917525773195877,0.7216494845360825,0,0.0,11,113,0.27835051546391754,119.33333333333333
78,464,4.82051282051282,0.7692307692307693,0,0.0,11,88,0.1282051282051282,19.9375
28,138,3.892857142857143,0.8214285714285714,0,0.0,2,29,0.17857142857142858,0.0
95,548,4.652631578947369,0.8631578947368421,0,0.0,12,106,0.1368421052631579,84.8
16,78,3.625,0.625,0,0.0,4,20,0.0625,6.5
82,450,4.378048780487805,0.6829268292682927,0,0.0,10,91,0.15853658536585366,63.04
74,487,5.351351351351352,0.4594594594594595,0,0.0,13,91,0.3783783783783784,365.8055555555555
104,683,5.4326923076923075,0.6153846153846154,0,0.0,9,118,0.28846153846153844,113.64000000000003
111,543,3.81981981981982,0.5225225225225225,0,0.0,9,119,0.34234234234234234,21.583333333333332
77,386,3.909090909090909,0.7792207792207793,0,0.0,9,85,0.15584415584415584,16.0
19,92,3.8947368421052633,1.0,0,0.0,0,18,0.10526315789473684,0.0
66,362,4.409090909090909,0.7727272727272727,0,0.0,6,71,0.13636363636363635,25.6734693877551
75,471,5.093333333333334,0.5333333333333333,0,0.0,15,89,0.25333333333333335,21.239669421487605
26,126,3.769230769230769,0.6923076923076923,0,0.0,3,28,0.23076923076923078,0.0
26,124,3.730769230769231,0.8076923076923077,0,0.0,2,27,0.23076923076923078,1.0
16,76,3.6875,0.9375,0,0.0,2,17,0.25,49.0
80,477,4.9,0.5625,0,0.0,6,85,0.275,58.8
86,468,4.372093023255814,0.686046511627907,0,0.0,7,92,0.22093023255813954,24.9375
26,125,3.769230769230769,0.6153846153846154,0,0.0,2,27,0.23076923076923078,1.0
110,679,5.0636363636363635,0.7909090909090909,0,0.0,11,122,0.18181818181818182,67.25
21,109,4.0,0.9047619047619048,0,0.0,5,25,0.19047619047619047,50.666666666666664
115,583,3.991304347826087,0.782608695652174,0,0.0,10,124,0.17391304347826086,36.138888888888886
81,469,4.716049382716049,0.6666666666666666,0,0.0,5,87,0.32098765432098764,225.44
83,572,5.759036144578313,0.8072289156626506,0,0.0,8,94,0.20481927710843373,464.40816326530603
14,67,3.7857142857142856,0.9285714285714286,0,0.0,1,14,0.0,1.0
38,226,4.815789473684211,0.7894736842105263,0,0.0,4,43,0.3684210526315789,130.75
109,653,4.926605504587156,0.8623853211009175,0,0.0,8,116,0.1743119266055046,106.6875
86,431,3.9186046511627906,0.5465116279069767,0,0.0,9,94,0.27906976744186046,2.1599999999999997
20,106,4.25,0.95,0,0.0,2,21,0.0,0.0
26,119,3.5384615384615383,0.8076923076923077,0,0.0,2,27,0.23076923076923078,33.55555555555556
71,448,5.154929577464789,0.6338028169014085,0,0.0,8,82,0.22535211267605634,306.24
115,668,4.678260869565217,0.4,0,0.0,16,130,0.2782608695652174,22.472222222222225
91,586,5.186813186813187,0.7362637362637363,0,0.0,21,114,0.21978021978021978,282.64
22,103,3.6818181818181817,0.9090909090909091,0,0.0,1,22,0.13636363636363635,0.0
63,365,4.603174603174603,0.6507936507936508,0,0.0,8,75,0.25396825396825395,57.55555555555555
79,490,5.075949367088608,0.6582278481012658,0,0.0,8,89,0.22784810126582278,102.88888888888887
35,180,4.114285714285714,0.8857142857142857,0,0.0,2,36,0.2571428571428571,2.25
103,568,4.41747572815534,0.8543689320388349,0,0.0,12,113,0.1650485436893204,31.359375
84,409,3.7857142857142856,0.6547619047619048,0,0.0,7,91,0.17857142857142858,29.714285714285715
116,727,5.181034482758621,0.8103448275862069,0,0.0,8,126,0.19827586206896552,211.2222222222222
88,462,4.204545454545454,0.6704545454545454,0,0.0,5,92,0.18181818181818182,34.64
30,195,5.166666666666667,0.7333333333333333,0,0.0,8,40,0.3333333333333333,13.333333333333334
62,368,4.790322580645161,0.6774193548387096,0,0.0,7,71,0.25806451612903225,75.8888888888889
32,199,4.96875,0.625,0,0.0,6,40,0.25,19.44
86,468,4.337209302325581,0.7674418604651163,0,0.0,10,95,0.18604651162790697,36.6875
16,83,4.125,1.0,0,0.0,1,17,0.1875,0.0
26,149,4.576923076923077,0.6538461538461539,0,0.0,5,30,0.07692307692307693,0.0
62,379,4.967741935483871,0.7580645161290323,0,0.0,7,71,0.1935483870967742,53.88888888888889
28,137,3.857142857142857,0.7142857142857143,0,0.0,2,29,0.25,0.0
52,297,4.519230769230769,0.75,0,0.0,7,62,0.3076923076923077,60.22222222222223
53,323,4.886792452830188,0.8490566037735849,0,0.0,7,64,0.22641509433962265,132.1875
20,102,4.15,0.95,0,0.0,0,19,0.15,0.0
16,78,3.9375,0.875,0,0.0,0,15,0.125,0.0
60,342,4.516666666666667,0.7333333333333333,0,0.0,12,71,0.2,31.5
17,68,2.9411764705882355,0.6470588235294118,0,0.0,2,18,0.058823529411764705,12.25
89,500,4.550561797752809,0.6966292134831461,0,0.0,7,95,0.15730337078651685,20.472222222222218
10,55,4.5,1.0,0,0.0,1,10,0.1,0.0
61,328,4.327868852459017,0.7540983606557377,0,0.0,4,64,0.19672131147540983,17.36
83,414,3.8674698795180724,0.6385542168674698,0,0.0,10,93,0.2289156626506024,31.484375
26,141,4.230769230769231,0.8076923076923077,0,0.0,6,31,0.15384615384615385,20.222222222222225
26,141,4.384615384615385,0.7692307692307693,0,0.0,2,27,0.11538461538461539,0.0
80,479,4.95,0.4625,0,0.0,4,83,0.3,94.8
91,572,5.142857142857143,0.6153846153846154,0,0.0,14,104,0.23076923076923078,33.13888888888889
76,427,4.407894736842105,0.5921052631578947,0,0.0,17,92,0.3026315789473684,14.888888888888891
19,75,2.789473684210526,0.8947368421052632,0,0.0,4,22,0.10526315789473684,10.6875
49,292,4.755102040816326,0.7346938775510204,0,0.0,7,59,0.1836734693877551,51.138888888888886
34,199,4.764705882352941,0.7352941176470589,0,0.0,4,37,0.29411764705882354,14.888888888888888
85,514,4.91764705882353,0.3764705882352941,0,0.0,10,96,0.38823529411764707,343.6
50,268,4.22,0.8,0,0.0,8,57,0.22,5.222222222222221
64,392,4.96875,0.78125,0,0.0,9,74,0.1875,79.75999999999999
63,376,4.841269841269841,0.6825396825396826,0,0.0,5,71,0.20634920634920634,270.56000000000006
100,545,4.39,0.72,0,0.0,7,106,0.19,20.555555555555554
25,128,4.08,0.72,0,0.0,2,26,0.28,42.25
81,499,5.012345679012346,0.7901234567901234,0,0.0,12,93,0.20987654320987653,221.13888888888889
